Date,H0A0,JNK
9/2/2014,1081.96,39.12966
9/3/2014,1081.09,39.015798
9/4/2014,1079.53,38.882963
9/5/2014,1077.24,38.845009
9/8/2014,1077.51,38.807059
9/9/2014,1075.87,38.617292
9/10/2014,1072.47,38.598315
9/11/2014,1071.06,38.560361
9/12/2014,1070.41,38.531898
9/15/14,1069.98,38.474967
9/16/14,1068.85,38.493944
9/17/14,1069.98,38.560361
9/18/14,1071.8,38.588825
9/19/14,1072.69,38.655246
9/22/14,1071.97,38.598315
9/23/14,1069.23,38.427526
9/24/14,1066.49,38.275714
9/25/14,1062.42,38.085947
9/26/14,1058.23,38.038507
9/29/14,1055.49,37.934135
9/30/14,1059.47,38.123901
10/1/2014,1061.15,38.211615
10/2/2014,1061.49,38.211615
10/3/2014,1065.12,38.364156
10/6/2014,1068.18,38.392757
10/7/2014,1066.52,38.268816
10/8/2014,1063.89,38.383221
10/9/2014,1061.95,37.992334
10/10/2014,1056.83,37.639583
10/13/14,1057.43,37.525178
10/14/14,1053.96,37.610982
10/15/14,1048.14,37.544246
10/16/14,1049.56,37.792124
10/17/14,1060.75,38.135343
10/20/14,1062,38.478561
10/21/14,1068.52,38.640635
10/22/14,1069.88,38.373688
10/23/14,1070.69,38.402289
10/24/14,1070.75,38.55483
10/27/14,1070.37,38.430893
10/28/14,1070.57,38.430893
10/29/14,1070.78,38.497629
10/30/14,1070.36,38.478561
10/31/14,1071.53,38.478561
11/3/2014,1071.84,38.554232
11/4/2014,1069.24,38.429708
11/5/2014,1070.08,38.391396
11/6/2014,1069.87,38.468023
11/7/2014,1070,38.487181
11/10/2014,1070.28,38.496758
11/11/2014,1070.48,38.57339
11/12/2014,1070.3,38.506339
11/13/14,1069.44,38.305187
11/14/14,1067.13,38.180663
11/17/14,1065.53,38.113613
11/18/14,1063.25,38.036982
11/19/14,1060.66,37.998666
11/20/14,1059.75,37.979512
11/21/14,1063.23,38.19024
11/24/14,1064.29,38.199821
11/25/14,1065.25,38.257291
11/26/14,1065.7,38.295607
11/28/14,1063.47,37.912461
12/1/2014,1056.53,37.620848
12/2/2014,1054.12,37.736337
12/3/2014,1054.33,37.736337
12/4/2014,1054.47,37.69784
12/5/2014,1053.3,37.659346
12/8/2014,1050.63,37.428364
12/9/2014,1044.29,37.322498
12/10/2014,1040.13,36.879787
12/11/2014,1037.58,36.64881
12/12/2014,1031.24,36.215722
12/15/14,1026.31,36.321588
12/16/14,1019.95,36.052109
12/17/14,1026.52,36.735424
12/18/14,1038.87,36.995276
12/19/14,1042.13,37.428364
12/22/14,1044.92,37.380244
12/23/14,1046.35,37.495733
12/24/14,1046.75,37.6016
12/26/14,1047.13,37.486111
12/29/14,1048.11,37.529626
12/30/14,1048.18,37.500613
12/31/14,1048.18,37.336223
1/2/2015,1048.41,37.403913
1/5/2015,1045.61,37.14282
1/6/2015,1042,36.968758
1/7/2015,1045.07,37.17183
1/8/2015,1049.32,37.423254
1/9/2015,1050.63,37.626325
1/12/2015,1050.22,37.587644
1/13/15,1050.25,37.548966
1/14/15,1047.41,37.461935
1/15/15,1048.43,37.249192
1/20/15,1048.39,37.355564
1/21/15,1048.45,37.500613
1/22/15,1050.32,37.548966
1/23/15,1051.79,37.558635
1/26/15,1052.89,37.781046
1/27/15,1052.9,37.732697
1/28/15,1055.13,37.587644
1/29/15,1055.22,37.732697
1/30/15,1055.4,37.655334
2/2/2015,1055.76,37.735976
2/3/2015,1058.95,37.920574
2/4/2015,1060.33,37.8137
2/5/2015,1062.66,38.037166
2/6/2015,1065.57,38.11489
2/9/2015,1065.68,38.076026
2/10/2015,1066.1,38.1829
2/11/2015,1066.11,38.192618
2/12/2015,1067.26,38.21205
2/13/15,1068.17,38.309206
2/17/15,1069.57,38.289774
2/18/15,1071.01,38.38693
2/19/15,1071.16,38.34807
2/20/15,1072.18,38.425794
2/23/15,1073.43,38.464658
2/24/15,1075.41,38.532668
2/25/15,1077.1,38.5521
2/26/15,1079.32,38.600678
2/27/15,1080,38.649256
3/2/2015,1080.94,38.638521
3/3/2015,1079.8,38.521373
3/4/2015,1078.02,38.462802
3/5/2015,1078.23,38.501848
3/6/2015,1075.56,38.287084
3/9/2015,1074.46,38.257795
3/10/2015,1070.7,38.169935
3/11/2015,1071.94,38.228509
3/12/2015,1072.71,38.316369
3/13/15,1069.63,38.14065
3/16/15,1068.4,38.072315
3/17/15,1066.01,37.886836
3/18/15,1065.84,38.218749
3/19/15,1068.97,37.925882
3/20/15,1070.11,38.199224
3/23/15,1071.08,38.257795
3/24/15,1072.27,38.287084
3/25/15,1073.24,38.208985
